Value,Letter,Name,Mathers Combined,KStart,KEnd
32,ת,Tau,blueviolet,9,10
31,ש,Shin,red,8,10
30,ר,Resh,orange,8,9
29,ק,Qoph,redviolet,7,10
28,צ,Tzaddi,violet,7,9
27,פ,Peh,red,7,8
26,ע,Ayin,blueviolet,6,8
25,ס,Samekh,blue,6,9
24,נ,Nun,bluegreen,6,7
23,מ,Mem,blue,5,8
22,ל,Lamed,green,5,6
21,כ,Caph,violet,4,7
20,י,Yod,yellowgreen,4,6
19,ט,Teth,yellow,4,5
18,ח,Cheth,yelloworange,3,5
17,ז,Zain,orange,3,6
16,ו,Vau,redorange,2,4
15,ה,Heh,red,2,6
14,ד,Daleth,green,2,3
13,ג,Gimel,blue,1,6
12,ב,Beth,yellow,1,3
11,א,Aleph,yellow,1,2
